Author,Quote,URL
Анатоль Франс ,"Когда человек мыслит, он сомневается, но он уверен, когда действует. ",http://forismatic.com/ru/cb3f80f349/
Винс Ломбарди,"Не важно, как часто вы падаете. Важно, как часто вы поднимаетесь. ",http://forismatic.com/ru/f52424c5e1/
Габриель Гарсиа Маркес,Если ты любишь что-то — отпусти. Если оно твое — оно вернется. ,http://forismatic.com/ru/29ce30a5bb/
Дао Дэ Дзин,"Преодоление трудного начинается с легкого, осуществление великого начинается от малого, ибо в мире трудное образуется из легкого, а великое — из малого. ",http://forismatic.com/ru/d831aa4bd6/
Дейл Карнеги,Давайте людям почувствовать их значительность и делайте это искренне. ,http://forismatic.com/ru/bbae5da286/
Дени Дидро,"Широта ума, сила воображения и активность души — вот что такое гений. ",http://forismatic.com/ru/d5e12f0467/
Джон Кехо,"Мы получаем от жизни не то, что хотим, а то, что ожидаем. ",http://forismatic.com/ru/5793770117/
Лев Толстой,"Во всех случаях, где употребляется насилие, прилагай разумное убеждение, и ты редко потеряешь в мирском смысле и всегда будешь в большом выигрыше в духовном.",http://forismatic.com/ru/36b55e8a92/
Лев Толстой,"Духовное руководит телесным, а не телесное духовным. И потому, чтобы изменить свое состояние, человек должен работать над собой в области духовной — в области мысли.",http://forismatic.com/ru/315eadf70f/
Марк Аврелий,"Наша жизнь есть то, что мы думаем о ней. ",http://forismatic.com/ru/a91b01e218/
Марк Твен,"Человек, одержимый новой идеей, успокоится, только осуществив ее.",http://forismatic.com/ru/5e2f6ca8cb/
Нельсон Мандела,"Обижаться и негодовать, это все равно, что выпить яд в надежде, что он убьет твоих врагов. ",http://forismatic.com/ru/a4116dd809/
Оскар Уайльд,"Если вы хотите узнать, что на самом деле думает женщина, смотрите на нее, но не слушайте. ",http://forismatic.com/ru/1e30f3077b/
Рамакришна,"Как свеча не может гореть без огня, так человек не может жить без духовной силы. Дух живет во всех людях, но не все люди знают это.",http://forismatic.com/ru/7ae335250e/
Ричард Карлсон ,"Концентрируясь на необходимости добиться покоя и счастья именно сейчас и именно здесь, а не когда-то и где-то, вы замечаете, что настоящее вполне вас устраивает.",http://forismatic.com/ru/75633e6b72/
Франсуа Де Ларошфуко,Разлука уменьшает умеренную любовь и увеличивает сильную подобно тому как ветер тушит свечу и раздувает огонь.,http://forismatic.com/ru/9493ec1931/
Франсуа де Ларошфуко,"У нас больше силы, чем воли, и мы часто, для того только, чтобы оправдать себя в собственных глазах, находим многое невозможным для нас.",http://forismatic.com/ru/40f1b23a7f/
Шодерло де Лакло,"Если бы мы понимали, в чём истинное наше счастье, мы никогда не искали бы его за пределами, установленными законами божескими и человеческими.",http://forismatic.com/ru/e9c5b6b3e8/
Шри Шри Рави Шанкар,"Изобилие — это ваше внутреннее состояние ума. Если вы только смотрите на «нехватку», то это будет увеличиваться в жизни. Посмотрите на то, что вы имеете, и тогда изобилие увеличится.",http://forismatic.com/ru/011c6878c8/
к/ф «Мир Реки»,Ты слишком сильно стараешься. Просто будь — все остальное придет само.,http://forismatic.com/ru/1674cfcb11/
